,Altitude,Accel,Vel,yVel,xVel,Propellant,Roll %,Drag,X,Y,f_Altitude,f_Accel,f_Vel,f_yVel,f_xVel,f_Propellant,f_Drag,f_X,f_Y
0,0.0004899613559246063,2.4498056072993233,0.04899611214598647,0.04899611214598647,-1.8758498133123832e-17,4975.1416779176,1.5707963267948966,0.0,-2.1019218470204425e-19,6378100.000489961,0.0004899613559246063,2.4498056072993233,0.04899611214598647,0.04899611214598647,-1.8758498133123832e-17,3888.7798572685997,0.0,NaN,NaN
1,1.2846170458942652,2.5095944726614956,2.529220349237623,2.529220349237623,-9.683293861780251e-16,4948.782981917589,1.5707963267948966,0.9285179329200687,-5.460853374103696e-16,6378101.284617046,1.2846170458942652,2.5095944726614956,2.529220349237623,2.529220349237623,-9.683293861780251e-16,3862.4211612685885,0.9285179329200687,NaN,NaN
2,5.079014846123755,2.5702696882529157,5.069685215727019,5.069685215727019,-1.9409638130345183e-15,4922.424285917577,1.5707963267948966,3.8034781395550072,-2.1392435564644636e-15,6378105.079014846,5.079014846123755,2.5702696882529157,5.069685215727019,5.069685215727019,-1.9409638130345183e-15,3836.0624652685774,3.8034781395550072,NaN,NaN
3,11.44436770118773,2.631834177005164,7.6712786147589425,7.6712786147589425,-2.9370017185213775e-15,4896.065589917566,1.5707963267948966,8.761188592530788,-4.776033773481784e-15,6378111.444367701,11.44436770118773,2.631834177005164,7.6712786147589425,7.6712786147589425,-2.9370017185213775e-15,3809.7037692685662,8.761188592530788,NaN,NaN
4,20.44224918540567,2.6942901150906717,10.334890991470635,10.334890991470635,-3.956784015676658e-15,4869.706893917555,1.5707963267948966,15.940648933510422,-8.452797732860732e-15,6378120.442249185,20.44224918540567,2.6942901150906717,10.334890991470635,10.334890991470635,-3.956784015676658e-15,3783.345073268555,15.940648933510422,NaN,NaN
5,32.135124277323484,2.7576389358765176,13.061414587768047,13.061414587768047,-5.000652305443659e-15,4843.348197917544,1.5707963267948966,25.483219752230035,-1.3165873746885885e-14,6378132.135124277,32.135124277323484,2.7576389358765176,13.061414587768047,13.061414587768047,-5.000652305443659e-15,3756.986377268544,25.483219752230035,NaN,NaN
6,46.58635078649968,2.8218813399279323,15.851742704095878,15.851742704095878,-6.068948594034512e-15,4816.989501917533,1.5707963267948966,37.53225296768974,-1.8911600620228483e-14,6378146.5863507865,46.58635078649968,2.8218813399279323,15.851742704095878,15.851742704095878,-6.068948594034512e-15,3730.627681268533,37.53225296768974,NaN,NaN
7,63.86018005665392,2.8870173115790134,18.70676897452006,18.70676897452006,-7.16201501539053e-15,4790.630805917522,1.5707963267948966,52.232681978636215,-2.5686321745414128e-14,6378163.860180057,63.86018005665392,2.8870173115790134,18.70676897452006,18.70676897452006,-7.16201501539053e-15,3704.2689852685216,52.232681978636215,NaN,NaN
8,84.02175692562014,2.9530461425716865,21.6273866619401,21.6273866619401,-8.280193561349407e-15,4764.2721099175105,1.5707963267948966,69.7305704186919,-3.3486389361848804e-14,6378184.021756926,84.02175692562014,2.9530461425716865,21.6273866619401,21.6273866619401,-8.280193561349407e-15,3677.9102892685105,69.7305704186919,NaN,NaN
9,107.13711903989315,3.0199664632862913,24.61448798077332,24.61448798077332,-9.423825822330233e-15,4737.913413917499,1.5707963267948966,90.17261854666319,-4.2308168969399707e-14,6378207.13711904,107.13711903989315,3.0199664632862913,24.61448798077332,24.61448798077332,-9.423825822330233e-15,3651.5515932684993,90.17261854666319,NaN,NaN
10,133.27319545857608,3.087776282037865,27.66896345494171,27.66896345494171,-1.059325274153435e-14,4711.554717917488,1.570756897435883,113.70562652668112,-5.214804388583676e-14,6378233.273195459,133.27319545857608,3.087776282037865,27.66896345494171,27.66896345494171,-1.059325274153435e-14,3625.192897268488,113.70562652668112,NaN,NaN
11,162.49780248012394,3.1565515958680903,30.791695423875122,30.79169266586823,0.013032551893785299,4685.196021917477,1.5687854294852042,140.47586294763798,0.0043837495881544845,6378262.49780248,162.49780248012394,3.1565515958680903,30.791695423875122,30.79169266586823,0.013032551893785299,3598.834201268477,140.47586294763798,NaN,NaN
12,194.87961764633656,3.226362666674263,33.98355796779905,33.98351848845315,0.05180053785000062,4658.837325917466,1.5668139615345253,170.62841069098184,0.03464536386599025,6378294.879617646,194.87961764633656,3.226362666674263,33.98355796779905,33.98351848845315,0.05180053785000062,3572.475505268466,170.62841069098184,NaN,NaN
13,230.488153250888,3.297198358387131,37.245453983863726,37.24527154968904,0.11657467149529592,4632.478629917455,1.5648424935838465,204.30688738152963,0.11665572468378729,6378330.48815325,230.488153250888,3.297198358387131,37.245453983863726,37.24527154968904,0.11657467149529592,3546.1168092684547,204.30688738152963,NaN,NaN
14,269.3937499290332,3.369047443425286,40.578309020525545,40.57777783328165,0.2076272576065571,4606.119933917444,1.5628710256331677,241.65282196883305,0.27655745383351754,6378369.3937499225,269.3937499290332,3.369047443425286,40.578309020525545,40.57777783328165,0.2076272576065571,3519.7581132684436,241.65282196883305,NaN,NaN
15,311.66757180262357,3.4418986694392584,43.98306075536729,43.981858277298635,0.3252320493857631,4579.7612379174325,1.5609389870415025,282.80489849615856,0.5407664914346997,6378411.66757178,311.66757180262357,3.4418986694392584,43.98306075536729,43.981858277298635,0.3252320493857631,3493.3994172684324,282.80489849615856,NaN,NaN
16,357.38164803851396,3.514942785427321,47.46066267556,47.4584696940725,0.4562410548124356,4553.402541917421,1.5609389870415025,327.89829763265794,0.9314585834561074,6378457.3816479705,357.38164803851396,3.514942785427321,47.46066267556,47.4584696940725,0.4562410548124356,3467.0407212684213,327.89829763265794,NaN,NaN
